		
岸	/àn/	Bờ, bờ sông, bờ biển
试图	/shìtú/	Cố gắng, thử
事务	/shìwù/	Công việc, sự vụ
事项	/shìxiàng/	Hạng mục, việc cần làm
适宜	/shìyí/	Phù hợp, thích hợp
收藏	/shōucáng/	Sưu tầm
收购	/shōugòu/	Mua lại, thu mua
收取	/shōuqǔ/	Thu, thu lấy
收益	/shōuyì/	Lợi nhuận, thu nhập
手臂	/shǒubì/	Cánh tay
手法	/shǒufǎ/	Thủ pháp, kỹ thuật
手势	/shǒushì/	Cử chỉ tay
首要	/shǒuyào/	Quan trọng hàng đầu
寿命	/shòumìng/	Tuổi thọ
受灾	/shòuzāi/	Bị thiên tai
输出	/shūchū/	Xuất ra, xuất khẩu
书画	/shūhuà/	Thư họa
书籍	/shūjí/	Sách vở
书面	/shūmiàn/	Bằng văn bản
输送	/shūsòng/	Vận chuyển, cung cấp
书写	/shūxiě/	Viết
属	/shǔ/	Thuộc về
薯片	/shǔpiàn/	Khoai tây chiên
竖	/shù/	Thẳng đứng; dựng lên; đường thẳng đứng
树立	/shùlì/	Xây dựng, lập nên
数目	/shùmù/	Số lượng
数字化	/shùzìhuà/	Số hóa
衰老	/shuāilǎo/	Già nua, lão hóa
率领	/shuàilǐng/	Lãnh đạo, dẫn dắt
率先	/shuàixiān/	Đi đầu
水稻	/shuǐdào/	Lúa nước
水库	/shuǐkù/	Hồ chứa nước
水流	/shuǐliú/	Dòng nước
水面	/shuǐmiàn/	Mặt nước
水泥	/shuǐní/	Xi măng
瞬间	/shùnjiān/	Khoảnh khắc
思路	/sīlù/	Luồng suy nghĩ
思念	/sīniàn/	Nhớ nhung
死亡	/sǐwáng/	Chết, tử vong
松	/sōng/	Lỏng lẻo; nới lỏng
艘	/sōu/	Chiếc (để đếm tàu)
搜集	/sōují/	Sưu tầm, thu thập
塑造	/sùzào/	Tạo hình, đúc nên
素质	/sùzhì/	Chất lượng, tố chất
算了	/suànle/	Thôi đi, bỏ qua
算是	/suànshì/	Có thể coi là; khá là
虽	/suī/	Tuy, mặc dù
岁数	/suìshu/	Tuổi tác
岁月	/suìyuè/	Năm tháng
损坏	/sǔnhuài/	Hỏng hóc, hư hỏng
损伤	/sǔnshāng/	Tổn thương, gây hại
所	/suǒ/	(dùng để tạo danh từ hóa hoặc bị động)
踏实	/tāshi/	Chắc chắn, vững vàng
塔	/tǎ/	Tháp, chùa tháp
台风	/táifēng/	Bão (cấp nhiệt đới)
台球	/táiqiú/	Bi-a
太空	/tàikōng/	Không gian vũ trụ
太阳能	/tàiyángnéng/	Năng lượng mặt trời
谈论	/tánlùn/	Thảo luận, bàn tán
谈判	/tánpàn/	Đàm phán
弹性	/tánxìng/	Độ đàn hồi
探索	/tànsuǒ/	Khám phá
探讨	/tàntǎo/	Thảo luận sâu
汤圆	/tāngyuán/	Bánh trôi (thang viên)
糖果	/tángguǒ/	Kẹo
烫	/tàng/	Cháy (bỏng); nóng bỏng
掏	/tāo/	Móc, lấy ra
逃	/táo/	Trốn thoát
逃跑	/táopǎo/	Chạy trốn
淘气	/táoqì/	Nghịch ngợm
淘汰	/táotài/	Loại bỏ
套餐	/tàocān/	Combo, set meal
特	/tè/	Đặc biệt, rất
特长	/tècháng/	Sở trường, điểm mạnh
特地	/tèdì/	Đặc biệt (vì mục đích)
特定	/tèdìng/	Đặc định, cụ thể
特性	/tèxìng/	Đặc tính
特意	/tèyì/	Cố ý, đặc biệt
题材	/tícái/	Chủ đề, đề tài
提取	/tíqǔ/	Trích xuất, rút ra
提示	/tíshì/	Nhắc nhở, gợi ý
体操	/tǐcāo/	Thể dục dụng cụ
体积	/tǐjī/	Thể tích
体系	/tǐxì/	Hệ thống
添	/tiān/	Thêm vào
天才	/tiāncái/	Thiên tài
添加	/tiānjiā/	Thêm vào
天然	/tiānrán/	Tự nhiên
天然气	/tiānránqì/	Khí tự nhiên
天文	/tiānwén/	Thiên văn
天下	/tiānxià/	Thiên hạ, thế gian
天真	/tiānzhēn/	Ngây thơ, trong sáng
田	/tián/	Ruộng đồng
田径	/tiánjìng/	Điền kinh
调节	/tiáojié/	Điều chỉnh
跳水	/tiàoshuǐ/	Nhảy cầu
贴近	/tiējìn/	Áp sát; gần gũi
听话	/tīnghuà/	Nghe lời, ngoan
听觉	/tīngjué/	Thính giác
听取	/tīngqǔ/	Lắng nghe, tiếp thu
通道	/tōngdào/	Lối đi, kênh
通风	/tōngfēng/	Thông gió
通话	/tōnghuà/	Nói chuyện điện thoại
通信	/tōngxìn/	Giao tiếp (thư từ, điện thoại)
通讯	/tōngxùn/	Thông tin liên lạc
通用	/tōngyòng/	Dùng chung, thông dụng
铜	/tóng/	Đồng (kim loại)
同伴	/tóngbàn/	Bạn đồng hành
同行	/tóngháng/	Làm cùng nghề; đồng nghiệp
童话	/tónghuà/	Truyện cổ tích
同类	/tónglèi/	Tương tự; cùng loại
铜牌	/tóngpái/	Huy chương đồng
痛快	/tòngkuài/	Sảng khoái, vui vẻ
偷	/tōu/	Ăn trộm; lén lút
偷偷	/tōutōu/	Lén lút, vụng trộm
头脑	/tóunǎo/	Đầu óc, trí óc
投票	/tóupiào/	Bầu cử, bỏ phiếu
投诉	/tóusù/	Khiếu nại
投资	/tóuzī/	Đầu tư; khoản đầu tư
透	/tòu/	Thấm qua; thấu đáo
透过	/tòuguò/	Qua, xuyên qua
透露	/tòulù/	Tiết lộ
透明	/tòumíng/	Trong suốt
突发	/tūfā/	Xảy ra đột ngột
突破	/tūpò/	Đột phá
图案	/tú’àn/	Hoa văn, họa tiết
图表	/túbiǎo/	Biểu đồ
徒弟	/túdì/	Đệ tử, học trò
途径	/tújìng/	Con đường, cách thức
图像	/túxiàng/	Hình ảnh
吐	/tǔ/	Nhổ, phun
土壤	/tǔrǎng/	Đất đai
吐	/tù/	Nôn, mửa
团结	/tuánjié/	Đoàn kết; đoàn kết
团体	/tuántǐ/	Tập thể, nhóm
团圆	/tuányuán/	Đoàn tụ
推测	/tuīcè/	Suy đoán
推销	/tuīxiāo/	Bán hàng, quảng bá
推行	/tuīxíng/	Thực hiện, áp dụng
退税	/tuìshuì/	Hoàn thuế
吞	/tūn/	Nuốt
拖	/tuō/	Kéo lê
拖延	/tuōyán/	Kéo dài, trì hoãn
托运	/tuōyùn/	Gửi hành lý
挖	/wā/	Đào
哇	/wā/	Ồ, wow (cảm thán)
娃娃	/wáwa/	Búp bê, em bé
歪	/wāi/	Lệch, cong
外表	/wàibiǎo/	Ngoại hình, bề ngoài
外交	/wàijiāo/	Ngoại giao
外界	/wàijiè/	Bên ngoài, thế giới bên ngoài
外科	/wàikē/	Ngoại khoa
外来	/wàilái/	Ngoại lai, từ bên ngoài
外甥	/wàisheng/	Cháu trai (con chị/em gái)
弯曲	/wānqū/	Cong, uốn cong
顽强	/wánqiáng/	Kiên cường
万物	/wànwù/	Muôn vật
王子	/wángzǐ/	Hoàng tử
网	/wǎng/	Mạng, lưới; bắt lưới
往后	/wǎnghòu/	Từ nay về sau
往来	/wǎnglái/	Qua lại
往年	/wǎngnián/	Những năm trước
望	/wàng/	Ngắm nhìn
危机	/wēijī/	Khủng hoảng
微小	/wēixiǎo/	Nhỏ bé, vi mô
违规	/wéiguī/	Vi phạm quy định
维护	/wéihù/	Bảo vệ, duy trì
为难	/wéinán/	Khó xử; làm khó
围棋	/wéiqí/	Cờ vây
为期	/wéiqī/	Kéo dài trong khoảng
维生素	/wéishēngsù/	Vitamin
为止	/wéizhǐ/	Cho đến
委屈	/wěiqu/	Thiệt thòi; ủy khuất
委托	/wěituō/	Ủy thác
未	/wèi/	Chưa
未必	/wèibì/	Chưa chắc, không hẳn
未成年人	/wèichéngniánrén/	Người chưa thành niên
为此	/wèicǐ/	Vì vậy
为何	/wèihé/	Tại sao
味觉	/wèijué/	Vị giác
胃口	/wèikǒu/	Khẩu vị
温和	/wēnhé/	Ôn hòa, dịu dàng
温柔	/wēnróu/	Dịu dàng, êm ái
文档	/wéndàng/	Tài liệu
文具	/wénjù/	Đồ dùng văn phòng
文科	/wénkē/	Khoa xã hội (văn khoa)
文明	/wénmíng/	Văn minh; văn minh
闻名	/wénmíng/	Nổi tiếng
文物	/wénwù/	Di vật văn hóa
文献	/wénxiàn/	Tài liệu, văn kiện
文艺	/wényì/	Văn nghệ
乌龟	/wūguī/	Rùa
污水	/wūshuǐ/	Nước thải
无所谓	/wúsuǒwèi/	Không quan trọng, kệ
无疑	/wúyí/	Không nghi ngờ
武器	/wǔqì/	Vũ khí
误	/wù/	Hiểu lầm, nhầm
误解	/wùjiě/	Hiểu lầm; sự hiểu lầm
物体	/wùtǐ/	Vật thể, đồ vật
吸取	/xīqǔ/	Hấp thụ, rút ra
媳妇	/xífu/	Con dâu
习俗	/xísú/	Phong tục
喜剧	/xǐjù/	Kịch hài, phim hài
喜事	/xǐshì/	Việc vui, tin vui
洗漱	/xǐshù/	Rửa ráy (mặt, răng)
细胞	/xìbāo/	Tế bào
细菌	/xìjūn/	Vi khuẩn
系列	/xìliè/	Loạt, series
戏曲	/xìqǔ/	Hí kịch truyền thống
细致	/xìzhì/	Tỉ mỉ, cẩn thận
吓	/xià/	Làm sợ, dọa
下功夫	/xià gōngfu/	Dành công sức, cố gắng
下单	/xiàdān/	Đặt hàng
夏令营	/xiàlìngyíng/	Trại hè
下线	/xiàxiàn/	Ngoại tuyến, offline
下旬	/xiàxún/	Cuối tháng
鲜明	/xiānmíng/	Rõ nét, nổi bật
先前	/xiānqián/	Trước đây
鲜艳	/xiānyàn/	Sặc sỡ, rực rỡ
嫌	/xián/	Ghét, chê
显	/xiǎn/	Rõ ràng; thể hiện
险	/xiǎn/	Nguy hiểm; suýt nữa
显著	/xiǎnzhù/	Nổi bật, đáng kể
限	/xiàn/	Giới hạn
线	/xiàn/	Chỉ, đường thẳng; (đếm đường)
现存	/xiàncún/	Hiện tồn, còn tồn tại
限度	/xiàndù/	Giới hạn
现货	/xiànhuò/	Hàng có sẵn
陷入	/xiànrù/	Sa vào, rơi vào
线索	/xiànsuǒ/	Manh mối
限于	/xiànyú/	Giới hạn ở
相差	/xiāngchà/	Khác nhau
香肠	/xiāngcháng/	Xúc xích
相传	/xiāngchuán/	Truyền lại, tương truyền
相等	/xiāngděng/	Bằng nhau
相连	/xiānglián/	Kết nối với nhau
香水	/xiāngshuǐ/	Nước hoa
相应	/xiāngyìng/	Tương ứng, phù hợp
项链	/xiàngliàn/	Dây chuyền
象棋	/xiàngqí/	Cờ tướng
相声	/xiàngsheng/	Tương thanh (hài kịch đối thoại)
向往	/xiàngwǎng/	Khao khát, mong muốn
消除	/xiāochú/	Loại bỏ, xóa bỏ
消毒	/xiāodú/	Khử trùng
消防	/xiāofáng/	Phòng cháy chữa cháy
消耗	/xiāohào/	Tiêu hao
消灭	/xiāomiè/	Tiêu diệt
小麦	/xiǎomài/	Lúa mì
小气	/xiǎoqi/	Keo kiệt
小偷儿	/xiǎotōur/	Tên trộm
笑容	/xiàoróng/	Nụ cười
效应	/xiàoyìng/	Hiệu ứng
歇	/xiē/	Nghỉ ngơi
携带	/xiédài/	Mang theo
协会	/xiéhuì/	Hội, hiệp hội
协调	/xiétiáo/	Phối hợp; điều phối
协助	/xiézhù/	Hỗ trợ, giúp đỡ
心爱	/xīn’ài/	Yêu quý
心底	/xīndǐ/	Đáy lòng
新款	/xīnkuǎn/	Mẫu mới
心灵	/xīnlíng/	Tâm hồn
新媒体	/xīnméitǐ/	Truyền thông mới
心目	/xīnmù/	Trong lòng, quan niệm
新能源	/xīnnéngyuán/	Năng lượng mới
薪水	/xīnshuǐ/	Lương
心疼	/xīnténg/	Đau lòng, xót xa
新兴	/xīnxīng/	Mới nổi, đang phát triển
新颖	/xīnyǐng/	Mới mẻ, sáng tạo
心愿	/xīnyuàn/	Ước nguyện
心脏	/xīnzàng/	Tim
信赖	/xìnlài/	Tin tưởng
信念	/xìnniàn/	Niềm tin
兴起	/xīngqǐ/	Nổi lên, phát triển mạnh
型号	/xínghào/	Kiểu, model
形态	/xíngtài/	Hình thái, dạng
性价比	/xìngjiàbǐ/	Tỷ lệ giá trị/gía tiền
性能	/xìngnéng/	Hiệu năng
胸	/xiōng/	Ngực
修订	/xiūdìng/	Sửa chữa, chỉnh sửa
修复	/xiūfù/	Sửa chữa, phục hồi
袖子	/xiùzi/	Tay áo
许可	/xǔkě/	Cho phép
叙述	/xùshù/	Kể lại, thuật lại
旋转	/xuánzhuǎn/	Xoay, quay
选拔	/xuǎnbá/	Tuyển chọn
选修	/xuǎnxiū/	Tự chọn (môn học)
学会	/xuéhuì/	Hội học thuật
学位	/xuéwèi/	Bằng cấp
学问	/xuéwen/	Kiến thức, học vấn
学员	/xuéyuán/	Học viên
血管	/xuèguǎn/	Mạch máu
血型	/xuèxíng/	Nhóm máu
血压	/xuèyā/	Huyết áp
血液	/xuèyè/	Máu
循环	/xúnhuán/	Tuần hoàn
寻求	/xúnqiú/	Tìm kiếm
压缩	/yāsuō/	Nén, ép
亚军	/yàjūn/	Á quân
淹	/yān/	ngập, nhấn chìm
淹没	/yānmò/	nhấn chìm, ngập lụt
严	/yán/	nghiêm ngặt, nghiêm khắc
沿海	/yánhǎi/	khu vực ven biển
严寒	/yánhán/	rét buốt, lạnh giá nghiêm trọng
严禁	/yánjìn/	nghiêm cấm
严厉	/yánlì/	nghiêm khắc, gay gắt
延期	/yánqī/	hoãn lại, trì hoãn
炎热	/yánrè/	nóng bức, oi bức
延伸	/yánshēn/	kéo dài, mở rộng
研讨	/yántǎo/	thảo luận, nghiên cứu
延续	/yánxù/	tiếp tục, kéo dài
言语	/yányǔ/	lời nói, ngôn ngữ
炎症	/yánzhèng/	viêm, tình trạng viêm
眼光	/yǎnguāng/	眼光, sự phán đoán
眼看	/yǎnkàn/	sắp, trông thấy
演奏	/yǎnzòu/	trình diễn (nhạc)
宴会	/yànhuì/	tiệc, buổi yến tiệc
验证	/yànzhèng/	kiểm chứng, xác minh
仰	/yǎng/	ngẩng lên, ngước nhìn
痒	/yǎng/	ngứa
养老	/yǎnglǎo/	nuôi dưỡng người già
养老院	/yǎnglǎoyuàn/	viện dưỡng lão
氧气	/yǎngqì/	oxy
样	/yàng/	loại, kiểu
遥远	/yáoyuǎn/	xa xôi, xa vời vợi
要点	/yàodiǎn/	điểm chính, trọng tâm
要么	/yàome/	hoặc là… hoặc là…
要素	/yàosù/	yếu tố thiết yếu
野	/yě/	hoang dã, dã man
也好	/yěhǎo/	cũng được, cũng hay
野生	/yěshēng/	hoang dã
野外	/yěwài/	ngoài trời, đồng hoang
业	/yè/	ngành, nghề
液体	/yètǐ/	chất lỏng
依旧	/yījiù/	vẫn như cũ, vẫn
依赖	/yīlài/	phụ thuộc, dựa vào
一流	/yīliú/	hạng nhất, xuất sắc
衣食住行	/yī-shí-zhù-xíng/	ăn mặc ở đi lại (nhu cầu cơ bản)
医药	/yīyào/	y tế, thuốc men
一一	/yīyī/	từng cái một
姨	/yí/	dì (chị/em gái của mẹ)
一辈子	/yíbèizi/	cả đời
遗产	/yíchǎn/	di sản
遗传	/yíchuán/	di truyền
一带	/yídài/	vùng, khu vực
一道	/yídào/	cùng nhau
一贯	/yíguàn/	nhất quán, kiên định
疑惑	/yíhuò/	nghi ngờ; sự nghi ngờ
一律	/yílǜ/	nhất luật, không ngoại lệ
移民	/yímín/	di cư; người di cư
仪器	/yíqì/	dụng cụ, thiết bị
仪式	/yíshì/	nghi thức, lễ
一向	/yíxiàng/	từ trước đến nay, luôn
一系列	/yíxìliè/	một loạt
一再	/yízài/	nhiều lần, lặp lại
一阵	/yízhèn/	một trận, một cơn
遗址	/yízhǐ/	di chỉ, tàn tích
以便	/yǐbiàn/	để cho, nhằm
以免	/yǐmiǎn/	để tránh, kẻo
以往	/yǐwǎng/	trước đây, quá khứ
异常	/yìcháng/	bất thường; cực kỳ
益处	/yìchù/	lợi ích
一帆风顺	/yīfān-fēngshùn/	thuận buồm xuôi gió
一口气	/yìkǒuqì/	một hơi, một mạch
议论	/yìlùn/	bàn luận; lời bàn tán
一模一样	/yìmú-yíyàng/	y hệt, giống hệt
艺人	/yìrén/	nghệ sĩ
一身	/yìshēn/	cả người, toàn thân
一时	/yìshí/	nhất thời; trong chốc lát
一同	/yìtóng/	cùng nhau
易于	/yìyú/	dễ dàng
抑制	/yìzhì/	kiềm chế, ức chế
因	/yīn/	vì, do
音节	/yīnjié/	âm tiết
银	/yín/	bạc
银牌	/yínpái/	huy chương bạc
引	/yǐn/	dẫn dắt, dẫn đến
隐藏	/yǐncáng/	giấu, che giấu
引导	/yǐndǎo/	dẫn dắt, hướng dẫn
引发	/yǐnfā/	gây ra, khơi mào
引入	/yǐnrù/	đưa vào, giới thiệu
隐私	/yǐnsī/	riêng tư, bí mật cá nhân
饮用水	/yǐnyòngshuǐ/	nước uống
印	/yìn/	dấu ấn; in ấn
婴儿	/yīng’ér/	trẻ sơ sinh
英雄	/yīngxióng/	anh hùng
影子	/yǐngzi/	bóng dáng
拥挤	/yōngjǐ/	chen chúc; đông đúc
涌现	/yǒngxiàn/	nổi lên, xuất hiện hàng loạt
勇于	/yǒngyú/	dũng cảm, mạnh dạn
用餐	/yòngcān/	dùng bữa
用处	/yòngchù/	công dụng
用功	/yònggōng/	chăm chỉ; siêng năng
用人	/yòngrén/	dùng người, tuyển dụng
用心	/yòngxīn/	chăm chú, tận tâm
优化	/yōuhuà/	tối ưu hóa
优先	/yōuxiān/	ưu tiên
优异	/yōuyì/	xuất sắc
由来	/yóulái/	nguồn gốc, lý do
游人	/yóu rén/	Du khách
犹如	/yóu rú/	Giống như, dường như
有机	/yǒu jī/	Hữu cơ
有劲	/yǒu jìn/	Tràn đầy năng lượng; khỏe mạnh
有序	/yǒu xù/	Có thứ tự, ngăn nắp
于	/yú/	Ở, tại, đối với
余额	/yú é/	Số dư, số tiền còn lại
与其	/yǔ qí/	Thà rằng, hơn là
羽绒服	/yǔ róng fú/	Áo khoác lông vũ
预定	/yù dìng/	Đặt trước, đặt chỗ
预料	/yù liào/	Dự đoán; sự dự đoán
预期	/yù qī/	Mong đợi, dự kiến
浴室	/yù shì/	Phòng tắm
欲望	/yù wàng/	Ham muốn, dục vọng
原本	/yuán běn/	Ban đầu, vốn dĩ
原材料	/yuán cái liào/	Nguyên liệu thô
原理	/yuán lǐ/	Nguyên lý
原料	/yuán liào/	Nguyên liệu
园林	/yuán lín/	Vườn cảnh, khu vườn
圆满	/yuán mǎn/	Hoàn hảo, trọn vẹn
原始	/yuán shǐ/	Nguyên thủy, ban đầu
元素	/yuán sù/	Yếu tố, nguyên tố
原先	/yuán xiān/	Trước đây, vốn ban đầu
元宵	/yuán xiāo/	Bánh chay (Yuanxiao), Tết Nguyên Tiêu
源于	/yuán yú/	Bắt nguồn từ
远程	/yuǎn chéng/	Từ xa, xa xôi
远方	/yuǎn fāng/	Xa xôi, nơi xa
约束	/yuē shù/	Ràng buộc, hạn chế
月光	/yuè guāng/	Ánh trăng
乐器	/yuè qì/	Nhạc cụ
月球	/yuè qiú/	Mặt trăng
乐曲	/yuè qǔ/	Bản nhạc
晕	/yūn/	Chóng mặt; ngất
晕车	/yùn chē/	Say xe
运送	/yùn sòng/	Vận chuyển
运行	/yùn xíng/	Vận hành, chạy
运营	/yùn yíng/	Vận hành, kinh doanh
杂	/zá/	Lộn xộn, tạp
灾	/zāi/	Tai họa, thiên tai
灾害	/zāi hài/	Thảm họa
灾难	/zāi nàn/	Tai ương, thảm họa
灾区	/zāi qū/	Khu vực thiên tai
再三	/zài sān/	Nhiều lần, hết lần này đến lần khác
再生	/zài shēng/	Tái sinh, tái chế
在意	/zài yì/	Quan tâm, để ý
赞赏	/zàn shǎng/	Khâm phục, tán thưởng
赞同	/zàn tóng/	Đồng ý, tán thành
遭到	/zāo dào/	Gặp phải, chịu
遭受	/zāo shòu/	Chịu đựng, gánh chịu
遭遇	/zāo yù/	Gặp phải; số phận
噪声	/zào shēng/	Tiếng ồn
造型	/zào xíng/	Tạo hình; kiểu dáng
则	/zé/	Thì, vậy thì
扎	/zhā/	Chọc, đâm
炸	/zhà/	Nổ, chiên
粘	/zhān/	Dính, dán
粘贴	/zhān tiē/	Dán, dán vào
崭新	/zhǎn xīn/	Hoàn toàn mới, sáng bóng
占比	/zhàn bǐ/	Tỷ lệ phần trăm
战斗	/zhàn dòu/	Trận chiến; chiến đấu
占据	/zhàn jù/	Chiếm giữ, chiếm
战胜	/zhàn shèng/	Đánh bại, vượt qua
占有	/zhàn yǒu/	Sở hữu, chiếm hữu
战争	/zhàn zhēng/	Chiến tranh
章	/zhāng/	Chương (sách)
长辈	/zhǎng bèi/	Người lớn tuổi, bậc bề trên
障碍	/zhàng ài/	Chướng ngại vật; cản trở
账单	/zhàng dān/	Hóa đơn, bill
招	/zhāo/	Tuyển dụng, thu hút
招待	/zhāo dài/	Tiếp đãi, chiêu đãi
招生	/zhāo shēng/	Tuyển sinh
招手	/zhāo shǒu/	Vẫy tay
招收	/zhāo shōu/	Tuyển dụng, thu nhận
照明	/zhào míng/	Chiếu sáng
折	/zhé/	Gấp, bẻ
针	/zhēn/	Kim, mũi kim
真相	/zhēn xiàng/	Sự thật, chân tướng
珍珠	/zhēn zhū/	Ngọc trai
枕头	/zhěn tou/	Gối đầu
镇	/zhèn/	Trấn áp; thị trấn
阵雨	/zhèn yǔ/	Mưa rào
睁	/zhēng/	Mở (mắt)
争吵	/zhēng chǎo/	Cãi nhau, tranh cãi
争夺	/zhēng duó/	Tranh giành
争论	/zhēng lùn/	Tranh luận
征求	/zhēng qiú/	Xin ý kiến,征求
争议	/zhēng yì/	Tranh cãi; tranh luận
政策	/zhèng cè/	Chính sách
正规	/zhèng guī/	Chính quy, chuẩn mực
正面	/zhèng miàn/	Mặt trước; tích cực
证实	/zhèng shí/	Xác nhận, chứng minh
正义	/zhèng yì/	Công lý; chính nghĩa
症状	/zhèng zhuàng/	Triệu chứng
支	/zhī/	Hỗ trợ, chi
枝	/zhī/	Cành; (đơn vị đếm cành)
支撑	/zhī chēng/	Chống đỡ, duy trì
支出	/zhī chū/	Chi ra; khoản chi
脂肪	/zhī fáng/	Chất béo
之所以	/zhī suǒ yǐ/	Lý do là vì
值班	/zhí bān/	Trực ban, trực ca
职位	/zhí wèi/	Chức vụ, vị trí công việc
职务	/zhí wù/	Nhiệm vụ, chức trách
职员	/zhí yuán/	Nhân viên văn phòng, cán bộ
职责	/zhí zé/	Trách nhiệm, bổn phận
侄子	/zhí zi/	Cháu trai (con anh/chị/em trai)
只得	/zhǐ dé/	Chỉ có thể, đành phải
指定	/zhǐ dìng/	Chỉ định, chỉ rõ
只顾	/zhǐ gù/	Chỉ lo, chỉ chú ý đến
指挥	/zhǐ huī/	Chỉ huy; người chỉ huy
指示	/zhǐ shì/	Chỉ dẫn; chỉ thị
指责	/zhǐ zé/	Chỉ trích, trách móc
制	/zhì/	Sản xuất, chế tạo
至关重要	/zhì guān zhòng yào/	Cực kỳ quan trọng
智力	/zhì lì/	Trí tuệ, trí thông minh
治理	/zhì lǐ/	Quản lý, trị lý
制品	/zhì pǐn/	Sản phẩm, hàng chế tạo
秩序	/zhì xù/	Trật tự, kỷ luật
质疑	/zhì yí/	Nghi ngờ, chất vấn
至于	/zhì yú/	Về phần, còn như
中等	/zhōng děng/	Trung bình, vừa phải
终点	/zhōng diǎn/	Điểm cuối, đích đến
中断	/zhōng duàn/	Gián đoạn, ngắt quãng
终身	/zhōng shēn/	Suốt đời, trọn đời
钟头	/zhōng tóu/	Giờ (đơn vị thời gian)
中旬	/zhōng xún/	Giữa tháng (ngày 11-20)
中央	/zhōng yāng/	Trung tâm, trung ương
肿	/zhǒng/	Sưng, sưng phù
中	/zhòng/	Trúng, bị trúng
种地	/zhòng dì/	Canh tác, trồng trọt
中毒	/zhòng dú/	Ngộ độc
中奖	/zhòng jiǎng/	Trúng thưởng
众人	/zhòng rén/	Mọi người, đám đông
中暑	/zhòng shǔ/	Say nắng; bị say nắng
众所周知	/zhòng suǒ zhōu zhī/	Ai cũng biết
重心	/zhòng xīn/	Trọng tâm, trung tâm
州	/zhōu/	Bang, châu (đơn vị hành chính)
粥	/zhōu/	Cháo
周边	/zhōu biān/	Khu vực xung quanh
周到	/zhōu dào/	Chu đáo, chu toàn
周期	/zhōu qī/	Chu kỳ, giai đoạn
株	/zhū/	Cây (đơn vị đếm cây)
珠宝	/zhū bǎo/	Trang sức, châu báu
诸多	/zhū duō/	Nhiều, vô số
主办	/zhǔ bàn/	Tổ chức, chủ trì
主播	/zhǔ bō/	Phát trực tiếp; streamer
主导	/zhǔ dǎo/	Chủ đạo; vai trò dẫn dắt
主管	/zhǔ guǎn/	Quản lý; người phụ trách
主角	/zhǔ jué/	Nhân vật chính
主流	/zhǔ liú/	Dòng chính, xu hướng chính
主演	/zhǔ yǎn/	Đóng vai chính; diễn viên chính
主张	/zhǔ zhāng/	Chủ trương; quan điểm
祝福	/zhù fú/	Chúc phúc, chúc lành
助理	/zhù lǐ/	Hỗ trợ; trợ lý
助手	/zhù shǒu/	Trợ thủ, người giúp việc
祝愿	/zhù yuàn/	Chúc nguyện, chúc
住宅	/zhù zhái/	Nhà ở, cư trú
著作	/zhù zuò/	Tác phẩm, sách viết
砖	/zhuān/	Gạch
专科	/zhuān kē/	Chuyên khoa, chuyên ngành
专利	/zhuān lì/	Bằng sáng chế, patent
专题	/zhuān tí/	Chủ đề chuyên sâu
专用	/zhuān yòng/	Dành riêng, chuyên dùng
专注	/zhuān zhù/	Tập trung, chuyên chú
转换	/zhuǎn huàn/	Chuyển đổi, biến đổi
转交	/zhuǎn jiāo/	Chuyển giao, chuyển cho
转让	/zhuǎn ràng/	Chuyển nhượng
转身	/zhuǎn shēn/	Quay người, quay lại
转移	/zhuǎn yí/	Chuyển dịch, di chuyển
转	/zhuàn/	Quay, xoay
转动	/zhuàn dòng/	Quay, xoay chuyển
装备	/zhuāng bèi/	Trang bị; thiết bị
庄稼	/zhuāng jia/	Hoa màu, cây trồng
追究	/zhuī jiū/	Truy cứu, điều tra trách nhiệm
捉	/zhuō/	Bắt, tóm
资本	/zī běn/	Vốn, tư bản
资产	/zī chǎn/	Tài sản
自豪	/zì háo/	Tự hào
自来水	/zì lái shuǐ/	Nước máy, nước vòi
自律	/zì lǜ/	Tự kỷ luật
字幕	/zì mù/	Phụ đề
自杀	/zì shā/	Tự tử
自我	/zì wǒ/	Bản thân, tự ngã
自言自语	/zì yán zì yǔ/	Tự nói một mình
自愿	/zì yuàn/	Tự nguyện
自助	/zì zhù/	Tự phục vụ
棕色	/zōng sè/	Màu nâu
总裁	/zǒng cái/	Tổng giám đốc, CEO
总计	/zǒng jì/	Tổng cộng, tính tổng
总理	/zǒng lǐ/	Thủ tướng
总算	/zǒng suàn/	Cuối cùng, rốt cuộc
粽子	/zòng zi/	Bánh chưng (zongzi)
走廊	/zǒu láng/	Hành lang
足	/zú/	Đủ; đầy đủ
足以	/zú yǐ/	Đủ để, có thể
阻碍	/zǔ ài/	Cản trở; chướng ngại
阻挡	/zǔ dǎng/	Chặn lại, ngăn cản
祖国	/zǔ guó/	Tổ quốc
祖先	/zǔ xiān/	Tổ tiên
钻	/zuān/	Khoan, chui vào
罪	/zuì/	Tội lỗi, tội ác
